Section,Prompt,Your Entry,Notes
Daily Thought Log,What triggered my overthinking today?,,
Daily Thought Log,What story did my mind create?,,
Daily Thought Log,What evidence supports this?,,
Daily Thought Log,What evidence *does not* support this?,,
Daily Thought Log,If my friend felt this, what would I tell them?,,

Trigger-Story-Fact,Trigger (What happened?),,
Trigger-Story-Fact,Story (What my mind told me),,
Trigger-Story-Fact,Fact (What actually happened),,

10-Min Timeout,Start Time:,,
10-Min Timeout,What activity did I do?,Options: wash face / walk / breathe / tea
10-Min Timeout,How do I feel after 10 minutes?,,

Reframing Practice,Original Thought,,Example: "They must be ignoring me"
Reframing Practice,Worst-case version,,(Write it fully)
Reframing Practice,Neutral version,,Example: "Maybe they're busy"
Reframing Practice,Kind version,,Example: "I am safe, I can wait calmly"

Communication Workbook,What I felt,,Example: worried / confused / hurt
Communication Workbook,Why I felt it,,Example: no reply for hours
Communication Workbook,The gentle 'I statement',,Example: "I felt anxious when I didn't hear back..."
Communication Workbook,What outcome do I hope for?,,

Anchor Ritual Builder,My 1-minute reset ritual,,Deep breathing / tea / stretching
Anchor Ritual Builder,When I will use it,,During overthinking / before texting / before sleeping

7-Day Plan,Day,Activity,Reflection
7-Day Plan,Day 1,Name every worry once today,
7-Day Plan,Day 2,Write 3 harmless reasons they might not reply,
7-Day Plan,Day 3,Use one 10-min timeout,
7-Day Plan,Day 4,Practice one 'I statement' with someone,
7-Day Plan,Day 5,Build your anchor ritual,
7-Day Plan,Day 6,Reframe 2 anxious thoughts,
7-Day Plan,Day 7,Write one page about what changed,
